Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-15 18:05:02.116 +0530,"Success",0:00:00,0,0,0,"20240315_180502.116/LogFile.txt","","",1
2024-03-15 18:05:57.625 +0530,"Success",0:00:00,0,0,0,"20240315_180557.625/LogFile.txt","","",1
2024-03-15 18:08:12.745 +0530,"Success",0:00:00,0,0,0,"20240315_180812.745/LogFile.txt","","",1
2024-03-15 18:10:37.073 +0530,"Success",0:00:00,0,0,0,"20240315_181037.073/LogFile.txt","","",1
2024-03-15 18:11:33.312 +0530,"Failure",0:00:00,1,0,0,"20240315_181133.312/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'global_v3'.",0
2024-03-15 18:11:54.970 +0530,"Success",0:00:00,0,0,0,"20240315_181154.970/LogFile.txt","","",1
2024-03-16 10:57:19.880 +0530,"Success",0:00:00,0,0,0,"20240316_105719.880/LogFile.txt","","",1
2024-03-16 10:58:38.713 +0530,"Success",0:00:00,0,0,0,"20240316_105838.713/LogFile.txt","","",1
2024-03-16 10:59:11.915 +0530,"Success",0:00:05,0,0,0,"20240316_105911.915/LogFile.txt","","",1
2024-03-16 10:59:33.782 +0530,"Success",0:00:09,0,0,0,"20240316_105933.782/LogFile.txt","","",1
2024-03-16 10:59:52.106 +0530,"Success",0:01:06,0,0,0,"20240316_105952.106/LogFile.txt","","",1
