Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-09 13:36:13.997 +0530,"Success",0:00:16,0,0,0,"20231209_133613.997/LogFile.txt","","",1
2023-12-09 13:36:59.014 +0530,"Success",0:00:00,0,0,0,"20231209_133659.014/LogFile.txt","","",1
2024-03-15 14:57:10.588 +0530,"Success",0:00:54,0,0,0,"20240315_145710.588/LogFile.txt","","",1
2024-03-15 15:43:58.744 +0530,"Success",0:00:00,0,0,0,"20240315_154358.744/LogFile.txt","","",1
2024-03-15 15:51:58.934 +0530,"Aborted",0:02:35,1,0,0,"20240315_155158.934/LogFile.txt","","",0
2024-03-15 15:54:35.465 +0530,"Aborted",0:00:28,1,0,0,"20240315_155435.465/LogFile.txt","","",0
2024-03-15 15:55:06.706 +0530,"Aborted",0:01:23,1,0,0,"20240315_155506.706/LogFile.txt","","",0
2024-03-15 15:56:33.392 +0530,"Aborted",0:00:06,1,0,0,"20240315_155633.392/LogFile.txt","","",0
2024-03-15 15:56:58.460 +0530,"Aborted",0:00:17,1,0,0,"20240315_155658.460/LogFile.txt","","",0
2024-03-15 15:57:25.552 +0530,"Aborted",0:01:13,1,0,0,"20240315_155725.552/LogFile.txt","","",0
2024-03-15 15:58:47.615 +0530,"Success",0:01:12,0,0,0,"20240315_155847.615/LogFile.txt","","",1
2024-03-15 16:06:48.017 +0530,"Aborted",0:00:47,1,0,0,"20240315_160648.017/LogFile.txt","","",0
2024-03-15 16:07:49.018 +0530,"Aborted",0:01:19,1,0,0,"20240315_160749.018/LogFile.txt","","",0
2024-03-15 16:09:09.613 +0530,"Aborted",0:01:09,1,0,0,"20240315_160909.613/LogFile.txt","","",0
2024-03-15 16:10:26.734 +0530,"Aborted",0:01:26,1,0,0,"20240315_161026.734/LogFile.txt","","",0
2024-03-15 16:12:20.217 +0530,"Aborted",0:00:32,1,0,0,"20240315_161220.217/LogFile.txt","","",0
2024-03-15 16:12:54.769 +0530,"Success",0:01:17,0,0,0,"20240315_161254.769/LogFile.txt","","",1
2024-03-15 16:14:58.847 +0530,"Success",0:01:21,0,0,0,"20240315_161458.847/LogFile.txt","","",1
2024-03-15 16:19:23.203 +0530,"Aborted",0:01:11,1,0,0,"20240315_161923.203/LogFile.txt","","",0
